fecha,camas_ocupadas,capacidad_camas,uci_ocupadas,capacidad_uci,ventiladores_ocupados,capacidad_ventiladores
9/5/2020,1066,3566,286,569,156,449
9/6/2020,1031,3566,276,569,151,449
9/7/2020,963,3566,250,569,148,449
9/8/2020,1034,3566,245,569,130,449
9/9/2020,998,3566,262,569,139,449
9/10/2020,998,3566,250,569,135,449
9/11/2020,963,3566,250,569,144,449
9/12/2020,963,3566,245,569,130,449
9/13/2020,963,3566,233,569,126,449
9/14/2020,927,3566,228,569,126,449
9/15/2020,927,3566,228,569,121,449
9/16/2020,927,3566,228,569,126,449
9/17/2020,927,3566,233,569,126,449
9/18/2020,963,3566,233,569,126,449
9/19/2020,921,3493,233,562,123,437
9/20/2020,901,3493,226,562,124,437
9/21/2020,850,3502,213,569,122,437
9/22/2020,831,3493,208,532,125,422
9/23/2020,829,3472,213,560,125,440
9/24/2020,848,3476,214,559,127,440
9/25/2020,820,3480,200,559,123,440
9/26/2020,828,3478,205,553,127,435
9/27/2020,828,3475,194,557,123,435
9/28/2020,782,3451,185,556,119,431
9/29/2020,803,3429,184,555,108,430
9/30/2020,801,3417,178,556,103,430
10/1/2020,787,3413,180,557,103,430
10/2/2020,773,3416,178,556,113,427
10/3/2020,778,3415,170,556,103,427
10/4/2020,790,3413,169,556,102,427
10/5/2020,754,3418,183,553,101,426
10/6/2020,695,3401,190,538,106,427
10/7/2020,722,3392,188,531,98,425
10/8/2020,734,3398,176,533,96,424
10/9/2020,705,3403,176,531,93,423
10/10/2020,697,3400,168,531,95,424
10/11/2020,697,3353,157,531,89,424
10/12/2020,658,3355,158,531,87,419
10/13/2020,651,3350,153,525,84,419
10/14/2020,640,3350,152,525,81,417
10/15/2020,654,3351,158,525,77,421
10/16/2020,670,3360,153,521,72,421
10/17/2020,690,3349,157,531,75,421
10/18/2020,687,3349,152,531,73,421
10/19/2020,683,3348,154,531,72,421
10/20/2020,661,3351,157,523,75,420
10/21/2020,680,3351,158,521,75,420
10/22/2020,662,3325,172,523,82,420
10/23/2020,662,3325,172,523,82,420
10/24/2020,644,3348,178,522,82,419
10/25/2020,653,3350,181,515,91,421
10/26/2020,633,3345,172,516,90,421
10/27/2020,638,3337,181,514,86,424
10/28/2020,623,3332,179,521,88,422
10/29/2020,681,3328,174,523,84,425
10/30/2020,670,3285,177,524,85,425
10/31/2020,673,3290,174,522,90,425
11/1/2020,650,3289,164,522,90,425
11/2/2020,641,3292,169,524,86,425
11/3/2020,657,3291,169,526,89,427
11/4/2020,663,3292,162,520,87,425
11/5/2020,674,3284,175,523,95,426
11/6/2020,642,3271,176,521,99,426
11/7/2020,640,3250,179,522,97,426
11/8/2020,653,3250,182,523,95,426
11/9/2020,636,3254,185,523,95,426
11/10/2020,598,3254,182,523,100,426
11/11/2020,606,3241,174,527,102,426
11/12/2020,595,3247,179,528,100,426
11/13/2020,597,3247,191,531,105,428
11/14/2020,600,3251,189,524,105,428
11/15/2020,625,3248,193,529,105,428
11/16/2020,643,3221,189,531,108,426
11/17/2020,660,3222,195,532,100,426
11/18/2020,677,3217,201,532,102,427
11/19/2020,652,2962,190,515,95,423
11/20/2020,687,2881,185,500,97,412
11/21/2020,687,2881,185,500,97,412
11/22/2020,687,2881,185,500,97,412
11/23/2020,693,2889,172,492,93,411
11/24/2020,679,2879,168,498,91,412
11/25/2020,685,2865,181,502,91,411
11/26/2020,707,2882,190,501,95,411
11/27/2020,709,2882,191,506,99,411
11/28/2020,749,2872,191,500,102,414
11/29/2020,766,2876,192,503,102,414
11/30/2020,775,2867,183,489,96,407
12/1/2020,767,2866,185,490,87,403
12/2/2020,788,2865,183,485,92,402
12/3/2020,810,2855,182,485,97,402
12/4/2020,811,2828,185,447,106,385
12/5/2020,807,2781,187,441,112,381
12/6/2020,815,2828,191,445,110,385
12/7/2020,840,2831,197,450,109,385
12/8/2020,812,2788,213,454,113,381
12/9/2020,837,2809,218,462,116,379
12/10/2020,842,2808,231,462,126,379
12/11/2020,840,2788,230,464,126,377
12/12/2020,876,2786,235,464,131,377
12/13/2020,863,2786,234,465,126,381
12/14/2020,910,2754,238,464,116,379
12/15/2020,833,2497,235,458,124,366
12/16/2020,837,2506,245,445,127,367
12/17/2020,862,2505,254,463,122,368
12/18/2020,881,2510,259,464,120,366
12/19/2020,892,2508,247,464,122,365
12/20/2020,897,2503,245,468,124,365
12/21/2020,867,2504,246,464,123,367
12/22/2020,861,2509,245,458,129,367
12/23/2020,881,2507,242,453,129,367
12/24/2020,874,2507,224,448,118,367
12/25/2020,843,2505,233,450,118,367
12/26/2020,830,2526,228,449,121,365
12/27/2020,857,2626,233,449,123,365
12/28/2020,901,2493,246,440,121,358
12/29/2020,985,2538,256,448,133,364
12/30/2020,1027,2616,258,490,151,386
12/31/2020,1021,2610,266,495,149,388
1/1/2021,1034,2611,266,495,144,388
1/2/2021,1056,2623,268,500,148,396
1/3/2021,1030,2615,270,501,152,396
1/4/2021,1063,2617,281,502,160,395
1/5/2021,1081,2612,282,500,152,391
1/6/2021,1094,2629,290,500,156,392
1/7/2021,1142,2614,302,508,155,399
1/8/2021,1188,2616,306,510,150,397
1/9/2021,1205,2625,308,517,164,399
1/10/2021,1213,2625,320,517,173,399
1/11/2021,1245,2680,322,523,168,399
1/12/2021,1298,2686,311,527,174,397
1/13/2021,1295,2719,318,532,162,400
1/14/2021,1303,2722,317,528,165,390
1/15/2021,1261,2729,321,532,166,388
1/16/2021,1306,2733,322,543,166,389
1/17/2021,1302,2731,331,543,170,391
1/18/2021,1282,2735,336,546,173,396
1/19/2021,1302,2731,331,543,170,391
1/20/2021,1275,2736,329,542,183,397
1/21/2021,1305,2731,332,543,190,396
1/22/2021,1297,2731,317,542,182,403
1/23/2021,1286,2735,303,543,172,403
1/24/2021,1259,2731,307,543,164,407
1/25/2021,1259,2731,307,543,164,407
1/26/2021,1165,2725,293,545,165,407
1/27/2021,1134,2728,288,545,165,406
1/28/2021,1119,2730,285,544,167,405
1/29/2021,1086,2712,286,543,167,404
1/30/2021,1056,2712,292,541,163,404
1/31/2021,1043,2712,293,540,161,403
2/1/2021,1012,2712,293,540,161,403
2/2/2021,933,2712,294,540,165,401
2/3/2021,958,2736,288,540,157,401
2/4/2021,963,2737,287,536,153,401
2/5/2021,956,2740,294,538,157,401
2/6/2021,938,2740,293,538,153,401
2/7/2021,907,2740,289,538,159,401
2/8/2021,880,2738,292,538,155,404
2/9/2021,834,2740,279,538,146,404
2/10/2021,801,2740,273,538,141,404
2/11/2021,817,2730,264,538,137,406
2/12/2021,802,2730,255,538,133,406
2/13/2021,796,2730,256,538,133,406
2/14/2021,806,2730,261,538,132,405
2/15/2021,764,2710,245,538,127,405
2/16/2021,755,2706,241,538,127,405
2/17/2021,765,2706,227,538,124,405
2/18/2021,768,2707,236,538,129,405
2/19/2021,737,2707,236,538,131,404
2/20/2021,737,2707,239,538,134,405
2/21/2021,737,2707,239,538,137,404
2/22/2021,646,2707,232,538,126,404
2/23/2021,639,2707,232,538,121,404
2/24/2021,633,2707,224,538,131,404
2/25/2021,634,2682,220,542,125,406
2/26/2021,618,2680,219,542,129,406
2/27/2021,601,2680,207,542,130,406
2/28/2021,598,2680,203,542,126,406
3/1/2021,563,2669,191,547,117,407
3/2/2021,540,2670,199,550,111,406
3/3/2021,545,2670,192,541,99,406
3/4/2021,563,2665,186,541,98,413
