,sexo,prov,fecha_confirmado,confirmado,cedula
0,F,01,2020-03-01,0,0
1,F,01,2020-03-04,1,1
2,F,01,2020-03-05,0,1
3,F,01,2020-03-06,1,1
4,F,01,2020-03-07,1,1
5,F,01,2020-03-08,0,0
6,F,01,2020-03-10,0,0
7,F,01,2020-03-12,1,1
8,F,01,2020-03-14,1,0
9,F,01,2020-03-16,2,2
10,F,01,2020-03-17,3,2
11,F,01,2020-03-18,2,4
12,F,01,2020-03-19,9,11
13,F,01,2020-03-20,14,7
14,F,01,2020-03-21,1,1
15,F,01,2020-03-22,12,48
16,F,01,2020-03-23,30,17
17,F,01,2020-03-24,33,51
18,F,01,2020-03-25,16,23
19,F,01,2020-03-26,48,120
20,F,01,2020-03-27,17,25
21,F,01,2020-03-28,134,395
22,F,01,2020-03-29,29,93
23,F,01,2020-03-30,24,47
24,F,01,2020-03-31,16,41
25,F,01,2020-04-01,26,50
26,F,01,2020-04-02,34,52
27,F,01,2020-04-03,56,144
28,F,01,2020-04-04,36,94
29,F,01,2020-04-05,1,1
30,F,01,2020-04-06,53,155
31,F,01,2020-04-07,41,128
32,F,01,2020-04-08,48,138
33,F,01,2020-04-09,42,129
34,F,01,2020-04-10,23,67
35,F,01,2020-04-11,11,57
36,F,01,2020-04-12,12,44
37,F,01,2020-04-13,33,88
38,F,01,2020-04-14,31,106
39,F,01,2020-04-15,42,127
40,F,01,2020-04-16,36,81
41,F,01,2020-04-17,17,31
42,F,01,2020-04-18,24,63
43,F,01,2020-04-19,14,56
44,F,01,2020-04-20,45,157
45,F,01,2020-04-21,33,111
46,F,01,2020-04-22,63,82
47,F,01,2020-04-23,53,100
48,F,01,2020-04-24,35,130
49,F,01,2020-04-25,28,88
50,F,01,2020-04-26,24,73
51,F,01,2020-04-27,76,161
52,F,01,2020-04-28,65,163
53,F,01,2020-04-29,86,170
54,F,01,2020-04-30,71,200
55,F,01,2020-05-01,109,213
56,F,01,2020-05-02,33,141
57,F,01,2020-05-03,23,63
58,F,01,2020-05-04,14,62
59,F,01,2020-05-05,55,166
60,F,01,2020-05-06,54,185
61,F,01,2020-05-07,58,184
62,F,01,2020-05-08,63,200
63,F,01,2020-05-09,40,135
64,F,01,2020-05-10,34,87
65,F,01,2020-05-11,69,174
66,F,01,2020-05-12,49,90
67,F,01,2020-05-13,77,227
68,F,01,2020-05-14,59,222
69,F,01,2020-05-15,88,281
70,F,01,2020-05-16,49,194
71,F,01,2020-05-17,32,105
72,F,01,2020-05-18,58,234
73,F,01,2020-05-19,71,275
