fecha,camas_ocupadas,capacidad_camas,uci_ocupadas,capacidad_uci,ventiladores_ocupados,capacidad_ventiladores
9/5/2020,1066,3566,286,678,156,536
9/6/2020,1031,3566,276,678,151,536
9/7/2020,963,3566,250,678,148,536
9/8/2020,1034,3566,245,678,130,536
9/9/2020,998,3566,262,678,139,536
9/10/2020,998,3566,250,678,135,536
9/11/2020,963,3566,250,678,144,536
9/12/2020,963,3566,245,678,130,536
9/13/2020,963,3566,233,678,126,536
9/14/2020,927,3566,228,678,126,536
9/15/2020,927,3566,228,678,121,536
9/16/2020,927,3566,228,678,126,536
9/17/2020,927,3566,233,678,126,536
9/18/2020,963,3566,233,678,126,536
9/19/2020,921,3566,233,678,123,536
9/20/2020,901,3566,226,678,124,536
9/21/2020,850,3566,213,678,122,536
9/22/2020,831,3566,208,678,125,536
9/23/2020,829,3566,213,678,125,536
9/24/2020,848,3566,214,678,127,536
9/25/2020,820,3566,200,678,123,536
9/26/2020,828,3566,205,678,127,536
9/27/2020,828,3566,194,678,123,536
9/28/2020,782,3566,185,678,119,536
9/29/2020,803,3566,184,678,108,536
9/30/2020,801,3566,178,678,103,536
10/1/2020,787,3566,180,678,103,536
10/2/2020,773,3566,178,678,113,536
10/3/2020,778,3566,170,678,103,536
10/4/2020,790,3566,169,678,102,536
10/5/2020,754,3566,183,678,101,536
10/6/2020,695,3566,190,678,106,536
10/7/2020,722,3566,188,678,98,536
10/8/2020,734,3566,176,678,96,536
10/9/2020,705,3566,176,678,93,536
10/10/2020,697,3566,168,678,95,536
10/11/2020,697,3566,157,678,89,536
10/12/2020,658,3566,158,678,87,536
10/13/2020,651,3566,153,678,84,536
10/14/2020,640,3566,152,678,81,536
10/15/2020,654,3566,158,678,77,536
10/16/2020,670,3566,153,678,72,536
10/17/2020,690,3566,157,678,75,536
10/18/2020,687,3566,152,678,73,536
10/19/2020,683,3566,154,678,72,536
10/20/2020,661,3566,157,678,75,536
10/21/2020,680,3566,158,678,75,536
10/22/2020,662,3566,172,678,82,536
10/23/2020,662,3566,172,678,82,536
10/24/2020,644,3566,178,678,82,536
10/25/2020,653,3566,181,678,91,536
10/26/2020,633,3566,172,678,90,536
10/27/2020,638,3566,181,678,86,536
10/28/2020,623,3566,179,678,88,536
10/29/2020,681,3566,174,678,84,536
10/30/2020,670,3566,177,678,85,536
10/31/2020,673,3566,174,678,90,536
11/1/2020,650,3566,164,678,90,536
11/2/2020,641,3566,169,678,86,536
11/3/2020,657,3566,169,678,89,536
11/4/2020,663,3566,162,678,87,536
11/5/2020,674,3566,175,678,95,536
11/6/2020,642,3566,176,678,99,536
11/7/2020,640,3566,179,678,97,536
11/8/2020,653,3566,182,678,95,536
